"";"dts";"Discharge"
"1";"2007-10-02";0,11727731092437
"2";"2007-10-16";0,116436974789916
"3";"2007-10-30";0,119848739495798
"4";"2007-11-13";0,121319327731092
"5";"2007-11-27";0,144201680672269
"6";"2007-12-11";0,156890756302521
"7";"2007-12-25";0,155294117647059
"8";"2008-01-08";0,156638655462185
"9";"2008-01-22";0,148319327731092
"10";"2008-02-05";0,124285714285714
"11";"2008-02-19";0,124529411764706
"12";"2008-03-04";0,219025210084034
"13";"2008-03-18";0,116495798319328
"14";"2008-04-01";0,119445378151261
"15";"2008-04-15";0,147563025210084
"16";"2008-04-29";0,153781512605042
"17";"2008-05-13";0,154453781512605
"18";"2008-05-27";0,157983193277311
"19";"2008-06-10";0,160336134453782
"20";"2008-06-24";0,162016806722689
"21";"2008-07-08";0,168823529411765
"22";"2008-07-22";0,17453781512605
"23";"2008-08-05";0,175546218487395
"24";"2008-08-19";0,174789915966387
"25";"2008-09-02";0,146218487394958
"26";"2008-09-16";0,145546218487395
"27";"2008-09-30";0,145966386554622
"28";"2008-10-14";0,145798319327731
"29";"2008-10-28";0,129773109243697
"30";"2008-11-11";0,121386554621849
"31";"2008-11-25";0,137705882352941
"32";"2008-12-09";0,156218487394958
"33";"2008-12-23";0,156302521008403
"34";"2009-01-06";0,157731092436975
"35";"2009-01-20";0,155882352941176
"36";"2009-02-03";0,129747899159664
"37";"2009-02-17";0,128655462184874
"38";"2009-03-03";0,121025210084034
"39";"2009-03-17";0,121050420168067
"40";"2009-03-31";0,121436974789916
"41";"2009-04-14";0,120731092436975
"42";"2009-04-28";0,119915966386555
"43";"2009-05-12";0,114210084033613
"44";"2009-05-26";0,110378151260504
"45";"2009-06-09";0,130210084033613
"46";"2009-06-23";0,146806722689076
"47";"2009-07-07";0,158403361344538
"48";"2009-07-21";0,159495798319328
"49";"2009-08-04";0,159411764705882
"50";"2009-08-18";0,158823529411765
"51";"2009-09-01";0,124285714285714
"52";"2009-09-15";0,120840336134454
"53";"2009-09-29";0,121008403361345
"54";"2009-10-13";0,120924369747899
"55";"2009-10-27";0,132605042016807
"56";"2009-11-10";0,139243697478992
"57";"2009-11-24";0,149159663865546
"58";"2009-12-08";0,179159663865546
"59";"2009-12-22";0,180924369747899
"60";"2010-01-05";0,182016806722689
"61";"2010-01-19";0,170504201680672
"62";"2010-02-02";0,136983193277311
"63";"2010-02-16";0,135932773109244
"64";"2010-03-02";0,114781512605042
"65";"2010-03-16";0,117966386554622
"66";"2010-03-30";0,122100840336134
"67";"2010-04-13";0,121327731092437
"68";"2010-04-27";0,119957983193277
"69";"2010-05-11";0,117
"70";"2010-05-25";0,117151260504202
"71";"2010-06-08";0,120983193277311
"72";"2010-06-22";0,130789915966387
"73";"2010-07-06";0,156470588235294
"74";"2010-07-20";0,158991596638655
"75";"2010-08-03";0,158991596638655
"76";"2010-08-17";0,159159663865546
"77";"2010-08-31";0,104168067226891
"78";"2010-09-14";0,0966218487394958
"79";"2010-09-28";0,0964537815126051
"80";"2010-10-12";0,0961344537815126
"81";"2010-10-26";0,128319327731092
"82";"2010-11-09";0,164117647058824
"83";"2010-11-23";0,164621848739496
"84";"2010-12-07";0,165546218487395
"85";"2010-12-21";0,165546218487395
"86";"2011-01-04";0,187310924369748
"87";"2011-01-18";0,202941176470588
"88";"2011-02-01";0,211344537815126
"89";"2011-02-15";0,203361344537815
"90";"2011-03-01";0,187647058823529
"91";"2011-03-15";0,20655462184874
"92";"2011-03-29";0,205210084033613
"93";"2011-04-12";0,184873949579832
"94";"2011-04-26";0,18109243697479
"95";"2011-05-10";0,232941176470588
"96";"2011-05-24";0,266050420168067
"97";"2011-06-07";0,268151260504202
"98";"2011-06-21";0,286638655462185
"99";"2011-07-05";0,28781512605042
"100";"2011-07-19";0,287310924369748
"101";"2011-08-02";0,289243697478992
"102";"2011-08-16";0,294789915966387
"103";"2011-08-30";0,200504201680672
"104";"2011-09-13";0,189243697478992
"105";"2011-09-27";0,19
"106";"2011-10-11";0,186974789915966
"107";"2011-10-25";0,182100840336134
"108";"2011-11-08";0,216302521008403
"109";"2011-11-22";0,243193277310924
"110";"2011-12-06";0,239327731092437
"111";"2011-12-20";0,224033613445378
"112";"2012-01-03";0,173109243697479
"113";"2012-01-17";0,15109243697479
"114";"2012-01-31";0,136974789915966
"115";"2012-02-14";0,133697478991597
"116";"2012-02-28";0,119588235294118
"117";"2012-03-13";0,115932773109244
"118";"2012-03-27";0,119218487394958
"119";"2012-04-10";0,121344537815126
"120";"2012-04-24";0,118109243697479
"121";"2012-05-08";0,117126050420168
"122";"2012-05-22";0,117991596638655
"123";"2012-06-05";0,141319327731092
"124";"2012-06-19";0,144361344537815
"125";"2012-07-03";0,169747899159664
"126";"2012-07-17";0,171596638655462
"127";"2012-07-31";0,160168067226891
"128";"2012-08-14";0,157310924369748
"129";"2012-08-28";0,112193277310924
"130";"2012-09-11";0,0940336134453782
"131";"2012-09-25";0,0943781512605042
"132";"2012-10-09";0,0946302521008403
"133";"2012-10-23";0,0949663865546218
"134";"2012-11-06";0,0950084033613445
"135";"2012-11-20";0,210495798319328
"136";"2012-12-04";0,150840336134454
"137";"2012-12-18";0,155378151260504
"138";"2013-01-01";0,154033613445378
"139";"2013-01-15";0,152605042016807
"140";"2013-01-29";0,133579831932773
"141";"2013-02-12";0,126252100840336
"142";"2013-02-26";0,116781512605042
"143";"2013-03-12";0,114033613445378
"144";"2013-03-26";0,112117647058824
"145";"2013-04-09";0,108848739495798
"146";"2013-04-23";0,112579831932773
"147";"2013-05-07";0,120352941176471
"148";"2013-05-21";0,112924369747899
"149";"2013-06-04";0,16
"150";"2013-06-18";0,160504201680672
"151";"2013-07-02";0,164033613445378
"152";"2013-07-16";0,165294117647059
"153";"2013-07-30";0,157647058823529
"154";"2013-08-13";0,156134453781513
"155";"2013-08-27";0,133411764705882
"156";"2013-09-10";0,120361344537815
"157";"2013-09-24";0,111193277310924
"158";"2013-10-08";0,0928067226890756
"159";"2013-10-22";0,0899915966386555
"160";"2013-11-05";0,198731092436975
"161";"2013-11-19";0,0849579831932773
"162";"2013-12-03";0,114436974789916
"163";"2013-12-17";0,113193277310924
"164";"2013-12-31";0,147394957983193
"165";"2014-01-14";0,154621848739496
"166";"2014-01-28";0,139554621848739
"167";"2014-02-11";0,127705882352941
"168";"2014-02-25";0,108890756302521
"169";"2014-03-11";0,0979579831932773
"170";"2014-03-25";0,0987058823529412
"171";"2014-04-08";0,101621848739496
"172";"2014-04-22";0,0997899159663865
"173";"2014-05-06";0,0975966386554622
"174";"2014-05-20";0,0932436974789916
"175";"2014-06-03";0,120731092436975
"176";"2014-06-17";0,121126050420168
"177";"2014-07-01";0,152605042016807
"178";"2014-07-15";0,156386554621849
"179";"2014-07-29";0,15563025210084
"180";"2014-08-12";0,157310924369748
"181";"2014-08-26";0,13918487394958
"182";"2014-09-09";0,121319327731092
"183";"2014-09-23";0,121764705882353
"184";"2014-10-07";0,117050420168067
"185";"2014-10-21";0,115756302521008
"186";"2014-11-04";0,215697478991597
"187";"2014-11-18";0,100100840336134
"188";"2014-12-02";0,168739495798319
"189";"2014-12-16";0,167310924369748
"190";"2014-12-30";0,166974789915966
"191";"2015-01-13";0,169075630252101
"192";"2015-01-27";0,143210084033613
"193";"2015-02-10";0,125302521008403
"194";"2015-02-24";0,127336134453782
"195";"2015-03-10";0,123949579831933
"196";"2015-03-24";0,125613445378151
"197";"2015-04-07";0,119966386554622
"198";"2015-04-21";0,124218487394958
"199";"2015-05-05";0,137058823529412
"200";"2015-05-19";0,134621848739496
"201";"2015-06-02";0,153697478991597
"202";"2015-06-16";0,161260504201681
"203";"2015-06-30";0,199327731092437
"204";"2015-07-14";0,206302521008403
"205";"2015-07-28";0,174117647058824
"206";"2015-08-11";0,155966386554622
"207";"2015-08-25";0,150672268907563
"208";"2015-09-08";0,142016806722689
"209";"2015-09-22";0,13718487394958
"210";"2015-10-06";0,117126050420168
"211";"2015-10-20";0,115705882352941
"212";"2015-11-03";0,113008403361345
"213";"2015-11-17";0,11709243697479
"214";"2015-12-01";0,161932773109244
"215";"2015-12-15";0,164285714285714
"216";"2015-12-29";0,164033613445378
"217";"2016-01-12";0,166470588235294
"218";"2016-01-26";0,151966386554622
"219";"2016-02-09";0,145126050420168
"220";"2016-02-23";0,142420168067227
"221";"2016-03-08";0,134781512605042
"222";"2016-03-22";0,135436974789916
"223";"2016-04-05";0,134957983193277
"224";"2016-04-19";0,13453781512605
"225";"2016-05-03";0,137394957983193
"226";"2016-05-17";0,136050420168067
"227";"2016-05-31";0,154453781512605
"228";"2016-06-14";0,159411764705882
"229";"2016-06-28";0,175042016806723
"230";"2016-07-12";0,186386554621849
"231";"2016-07-26";0,180588235294118
"232";"2016-08-09";0,173781512605042
"233";"2016-08-23";0,165294117647059
"234";"2016-09-06";0,140168067226891
"235";"2016-09-20";0,137873949579832
"236";"2016-10-04";0,116915966386555
"237";"2016-10-18";0,11709243697479
"238";"2016-11-01";0,205806722689076
"239";"2016-11-15";0,100840336134454
"240";"2016-11-29";0,151957983193277
"241";"2016-12-13";0,176470588235294
"242";"2016-12-27";0,176134453781513
"243";"2017-01-10";0,173613445378151
"244";"2017-01-24";0,165546218487395
"245";"2017-02-07";0,154789915966387
"246";"2017-02-21";0,146554621848739
"247";"2017-03-07";0,137638655462185
"248";"2017-03-21";0,137563025210084
"249";"2017-04-04";0,124588235294118
"250";"2017-04-18";0,125487394957983
"251";"2017-05-02";0,125495798319328
"252";"2017-05-16";0,126949579831933
"253";"2017-05-30";0,143210084033613
"254";"2017-06-13";0,150924369747899
"255";"2017-06-27";0,159663865546218
"256";"2017-07-11";0,169327731092437
"257";"2017-07-25";0,17218487394958
"258";"2017-08-08";0,177731092436975
"259";"2017-08-22";0,169915966386555
"260";"2017-09-05";0,131361344537815
"261";"2017-09-19";0,131655462184874
"262";"2017-10-03";0,121596638655462
"263";"2017-10-17";0,121747899159664
"264";"2017-10-31";0,121521008403361
"265";"2017-11-14";0,121747899159664
"266";"2017-11-28";0,136134453781513
"267";"2017-12-12";0,141512605042017
"268";"2017-12-26";0,15
"269";"2018-01-09";0,164873949579832
"270";"2018-01-23";0,163529411764706
"271";"2018-02-06";0,159327731092437
"272";"2018-02-20";0,157142857142857
"273";"2018-03-06";0,159159663865546
"274";"2018-03-20";0,160420168067227
"275";"2018-04-03";0,145378151260504
"276";"2018-04-17";0,147478991596639
"277";"2018-05-01";0,140798319327731
"278";"2018-05-15";0,139529411764706
"279";"2018-05-29";0,146672268907563
"280";"2018-06-12";0,155042016806723
"281";"2018-06-26";0,160168067226891
"282";"2018-07-10";0,170336134453782
"283";"2018-07-24";0,17
"284";"2018-08-07";0,171764705882353
"285";"2018-08-21";0,172689075630252
"286";"2018-09-04";0,135378151260504
"287";"2018-09-18";0,138235294117647
"288";"2018-10-02";0,12446218487395
"289";"2018-10-16";0,123991596638655
"290";"2018-10-30";0,180546218487395
"291";"2018-11-13";0,0953529411764706
"292";"2018-11-27";0,124504201680672
"293";"2018-12-11";0,144117647058824
"294";"2018-12-25";0,150504201680672
"295";"2019-01-08";0,155546218487395
"296";"2019-01-22";0,153529411764706
"297";"2019-02-05";0,151932773109244
"298";"2019-02-19";0,160420168067227
"299";"2019-03-05";0,152941176470588
"300";"2019-03-19";0,153361344537815
"301";"2019-04-02";0,142689075630252
"302";"2019-04-16";0,146806722689076
"303";"2019-04-30";0,143865546218487
"304";"2019-05-14";0,144201680672269
"305";"2019-05-28";0,150420168067227
"306";"2019-06-11";0,162016806722689
"307";"2019-06-25";0,166470588235294
"308";"2019-07-09";0,167647058823529
"309";"2019-07-23";0,175714285714286
"310";"2019-08-06";0,178487394957983
"311";"2019-08-20";0,176974789915966
"312";"2019-09-03";0,138756302521008
"313";"2019-09-17";0,140084033613445
"314";"2019-10-01";0,123268907563025
"315";"2019-10-15";0,119739495798319
"316";"2019-10-29";0,123554621848739
"317";"2019-11-12";0,124403361344538
"318";"2019-11-26";0,135966386554622
"319";"2019-12-10";0,146806722689076
"320";"2019-12-24";0,141344537815126
"321";"2020-01-07";0,146890756302521
"322";"2020-01-21";0,146638655462185
"323";"2020-02-04";0,140504201680672
"324";"2020-02-18";0,141176470588235
"325";"2020-03-03";0,137310924369748
"326";"2020-03-17";0,138235294117647
"327";"2020-03-31";0,129621848739496
"328";"2020-04-14";0,129218487394958
"329";"2020-04-28";0,127226890756303
"330";"2020-05-12";0,124705882352941
"331";"2020-05-26";0,127050420168067
"332";"2020-06-09";0,130168067226891
"333";"2020-06-23";0,135655462184874
"334";"2020-07-07";0,14563025210084
"335";"2020-07-21";0,150478991596639
"336";"2020-08-04";0,168235294117647
"337";"2020-08-18";0,167899159663866
"338";"2020-09-01";0,126411764705882
"339";"2020-09-15";0,124025210084034
"340";"2020-09-29";0,127252100840336
"341";"2020-10-13";0,12753781512605
"342";"2020-10-27";0,128546218487395
"343";"2020-11-10";0,128991596638655
"344";"2020-11-24";0,13209243697479
"345";"2020-12-08";0,137563025210084
"346";"2020-12-22";0,134067226890756
"347";"2021-01-05";0,146218487394958
"348";"2021-01-19";0,146890756302521
"349";"2021-02-02";0,14218487394958
"350";"2021-02-16";0,141596638655462
"351";"2021-03-02";0,136218487394958
"352";"2021-03-16";0,128445378151261
"353";"2021-03-30";0,128151260504202
"354";"2021-04-13";0,126134453781513
"355";"2021-04-27";0,126655462184874
"356";"2021-05-11";0,127403361344538
"357";"2021-05-25";0,112806722689076
"358";"2021-06-08";0,136638655462185
"359";"2021-06-22";0,139663865546218
"360";"2021-07-06";0,147731092436975
"361";"2021-07-20";0,144117647058824
"362";"2021-08-03";0,146806722689076
"363";"2021-08-17";0,15344537815126
"364";"2021-08-31";0,128882352941176
"365";"2021-09-14";0,123151260504202
"366";"2021-09-28";0,102957983193277
"367";"2021-10-12";0,0937394957983193
"368";"2021-10-26";0,0951932773109244
"369";"2021-11-09";0,0986302521008404
"370";"2021-11-23";0,102764705882353
"371";"2021-12-07";0,114773109243697
"372";"2021-12-21";0,11572268907563
"373";"2022-01-04";0,129621848739496
"374";"2022-01-18";0,132436974789916
"375";"2022-02-01";0,117932773109244
"376";"2022-02-15";0,118588235294118
"377";"2022-03-01";0,114084033613445
"378";"2022-03-15";0,110084033613445
"379";"2022-03-29";0,103142857142857
"380";"2022-04-12";0,100823529411765
"381";"2022-04-26";0,10927731092437
"382";"2022-05-10";0,115042016806723
"383";"2022-05-24";0,114672268907563
"384";"2022-06-07";0,117134453781513
"385";"2022-06-21";0,11918487394958
"386";"2022-07-05";0,128521008403361
"387";"2022-07-19";0,130689075630252
"388";"2022-08-02";0,136899159663866
"389";"2022-08-16";0,137420168067227
"390";"2022-08-30";0,119655462184874
"391";"2022-09-13";0,110504201680672
"392";"2022-09-27";0,10109243697479
"393";"2022-10-11";0,0941176470588235
"394";"2022-10-25";0,0968739495798319
"395";"2022-11-08";0,100647058823529
"396";"2022-11-22";0,101126050420168
"397";"2022-12-06";0,106487394957983
"398";"2022-12-20";0,107352941176471
"399";"2023-01-03";0,0973529411764706
"400";"2023-01-17";0,0976638655462185
"401";"2023-01-31";0,103495798319328
"402";"2023-02-14";0,104747899159664
"403";"2023-02-28";0,0973949579831933
"404";"2023-03-14";0,0951680672268908
"405";"2023-03-28";0,134319327731092
"406";"2023-04-11";0,146352941176471
"407";"2023-04-25";0,282705882352941
